datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2011-05-21,18.3,11.9,14.2,84.7,8.3,27.7,151.1
2011-05-22,18.1,11.0,13.8,83.9,21.0,18.0,108.9
2011-05-23,20.2,9.1,14.1,82.5,5.7,14.8,220.7
2011-05-24,19.1,11.0,14.5,83.1,3.5,18.0,224.8
2011-05-25,18.5,11.1,14.1,84.5,9.0,17.9,236.7
2011-05-26,16.2,11.9,13.6,84.4,19.4,21.8,198.1
2011-05-27,19.3,10.0,15.0,73.0,18.3,26.9,228.9
2011-05-28,18.3,10.0,14.2,78.1,8.9,19.9,212.6
2011-05-29,17.1,10.0,13.5,84.2,3.4,14.8,226.1
2011-05-30,17.0,12.0,14.2,83.2,2.6,105.5,240.6
2011-05-31,20.0,12.0,15.3,74.7,0.6,22.3,223.4
2011-06-01,19.0,11.1,14.2,87.4,2.1,20.5,191.9
2011-06-02,19.3,11.0,14.5,87.6,22.7,20.2,168.4
2011-06-03,17.3,11.8,14.0,87.6,17.3,13.6,89.2
2011-06-04,15.1,12.0,13.1,90.7,12.5,16.6,136.5
2011-06-05,19.0,11.8,14.3,81.3,3.5,22.3,253.1
2011-06-06,29.0,10.0,15.6,81.0,3.9,22.3,289.5
2011-06-07,21.0,10.0,14.6,83.8,1.5,22.3,253.1
2011-06-08,19.0,10.0,14.8,78.1,0.0,14.8,241.5
2011-06-09,20.1,12.0,15.3,76.3,5.0,28.8,200.3
2011-06-10,20.0,10.1,14.4,76.0,1.3,25.9,259.2
2011-06-11,19.0,12.0,15.1,70.4,15.6,27.7,194.7
2011-06-12,18.2,13.0,15.2,69.4,2.9,33.5,247.5
2011-06-13,19.0,11.9,15.0,75.9,16.7,32.5,261.3
2011-06-14,19.2,12.0,15.0,69.6,1.0,28.8,198.3
2011-06-15,26.0,11.0,14.8,71.7,2.5,100.1,240.3
2011-06-16,18.3,10.0,13.5,80.5,8.4,18.1,213.3
2011-06-17,20.2,12.0,15.0,74.7,2.3,25.5,201.3
2011-06-18,17.0,10.9,14.2,71.8,0.1,22.3,171.6
2011-06-19,20.2,11.0,14.7,74.5,7.4,21.7,196.2
2011-06-20,19.7,11.0,14.2,83.6,9.8,21.7,246.5
2011-06-21,20.3,10.0,15.0,73.9,0.6,23.5,218.6
2011-06-22,18.3,9.0,14.6,74.6,3.4,24.9,244.4
2011-06-23,18.2,11.1,14.3,76.8,12.3,26.9,249.3
2011-06-24,20.1,10.0,13.7,82.2,14.8,18.4,229.1
2011-06-25,18.1,11.0,14.0,84.1,3.7,18.4,221.6
2011-06-26,20.5,12.0,15.4,75.8,0.0,25.9,243.6
2011-06-27,20.0,11.0,13.6,75.6,0.0,22.3,259.5
2011-06-28,20.3,8.1,14.0,73.7,0.0,18.1,290.7
